,County-equivalent,State,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,fips
0,New York County,New York,62498.0,69659.0,84627.0,"1,605,272","736,192",36061
1,Arlington,Virginia,62018.0,103208.0,139244.0,"214,861","94,454",51013
2,Falls Church City,Virginia,59088.0,120000.0,152857.0,"12,731","5,020",51610
3,Marin,California,56791.0,90839.0,117357.0,"254,643","102,912",06041
4,Alexandria City,Virginia,54608.0,85706.0,107511.0,"143,684","65,369",51510
5,Pitkin,Colorado,51814.0,72745.0,93981.0,"17,173","7,507",08097
6,Los Alamos,New Mexico,51044.0,106686.0,124979.0,"17,979","7,590",35028
7,Fairfax County,Virginia,50532.0,110292.0,128596.0,"1,101,071","389,908",51059
8,Hunterdon,New Jersey,50349.0,106143.0,125828.0,"127,047","46,816",34019
9,Borden,Texas,50042.0,71607.0,76250.0,649,225,48033
10,Montgomery,Maryland,49038.0,98221.0,117408.0,"989,474","360,563",24031
11,Morris,New Jersey,48814.0,98633.0,117683.0,"495,261","179,665",34027
12,Fairfield,Connecticut,48721.0,82283.0,104250.0,"926,233","332,655",09001
13,San Francisco,California,48486.0,75604.0,90116.0,"817,501","345,344",06075
14,Howard,Maryland,48172.0,109865.0,128657.0,"293,821","106,142",24027
15,Westchester,New York,47984.0,81946.0,105341.0,"956,283","343,561",36119
16,Somerset,New Jersey,47803.0,99020.0,117393.0,"326,207","115,531",34035
17,Nantucket,Massachusetts,47331.0,85478.0,92500.0,"10,224","4,069",25019
18,Loudoun,Virginia,46565.0,122238.0,133550.0,"326,477","106,997",51107
19,North Slope,Alaska,46457.0,80761.0,82500.0,"9,484","1,990",02185
20,San Mateo,California,45732.0,88202.0,105844.0,"729,543","257,941",06081
21,Kalawao,Hawaii,45515.0,59375.0,88750.0,71,46,15005
22,Washington City,District of Columbia,45290.0,65830.0,79665.0,"619,371","263,649",11001
23,Goochland,Virginia,45039.0,80976.0,92042.0,"21,565","8,058",51075
24,Norfolk,Massachusetts,44692.0,84916.0,108943.0,"677,296","257,451",25021
25,Fairfax City,Virginia,44345.0,97242.0,113538.0,"23,027","8,492",51600
26,Douglas,Colorado,43634.0,101591.0,112930.0,"293,014","103,780",08035
27,Teton,Wyoming,43444.0,68078.0,83558.0,"21,575","7,583",56039
28,Bergen,New Jersey,43347.0,83794.0,102222.0,"912,795","335,422",34003
29,Middlesex,Massachusetts,42861.0,82090.0,104032.0,"1,522,533","581,120",25017
30,Monmouth,New Jersey,42749.0,84526.0,105971.0,"629,735","233,909",34025
31,Summit,Utah,42462.0,83336.0,95879.0,"37,232","13,627",49043
32,Nassau,New York,42400.0,97690.0,112874.0,"1,343,765","441,955",36059
33,Mineral,Colorado,42255.0,47083.0,68438.0,761,393,08079
34,Chester,Pennsylvania,42210.0,86050.0,105278.0,"503,075","184,788",42029
35,Ozaukee,Wisconsin,42041.0,75457.0,92262.0,"86,708","34,108",55089
36,Clear Creek,Colorado,41716.0,67259.0,89583.0,"9,048","4,024",08019
37,Santa Clara,California,41513.0,91702.0,103983.0,"1,812,208","609,377",06085
38,Montgomery,Pennsylvania,41472.0,79183.0,99587.0,"804,621","307,488",42091
39,Williamson,Tennessee,41292.0,89779.0,104796.0,"188,935","66,364",47187
40,San Miguel,Colorado,40827.0,63594.0,77708.0,"7,496","3,234",08113
41,Anne Arundel,Maryland,40415.0,87430.0,101268.0,"544,426","199,904",24003
42,Putnam,New York,40309.0,95117.0,109188.0,"99,718","34,496",36079
43,Newport,Rhode Island,40293.0,71713.0,88962.0,"82,545","34,774",44005
44,Delaware County,Ohio,40189.0,89757.0,103564.0,"178,139","64,208",39041
45,Middlesex,Connecticut,39992.0,76994.0,98501.0,"165,690","66,141",09007
46,King,Washington,39911.0,71811.0,92510.0,"1,974,567","802,606",53033
47,Fauquier,Virginia,39600.0,88409.0,103556.0,"66,015","23,130",51061
48,Hamilton,Indiana,39521.0,82468.0,99768.0,"282,977","103,234",18057
49,Eagle,Colorado,39497.0,74456.0,86167.0,"52,151","17,966",08037
50,James City County,Virginia,39133.0,76960.0,90406.0,"68,171","26,883",51095
51,Bristol,Rhode Island,38893.0,71238.0,93131.0,"49,426","19,174",44001
52,Johnson,Kansas,38827.0,74717.0,92512.0,"552,947","216,304",20091
53,Clarke,Virginia,38748.0,77597.0,95654.0,"14,191","5,580",51043
54,Williams,North Dakota,38738.0,76210.0,86285.0,"25,024","10,411",38105
55,DuPage,Illinois,38570.0,78487.0,95208.0,"922,803","336,028",17043
56,Poquoson City,Virginia,38444.0,81892.0,98848.0,"12,117","4,591",51735
57,Rockingham,New Hampshire,38399.0,77348.0,93420.0,"296,718","116,262",33015
58,Calvert,Maryland,38260.0,95477.0,107684.0,"89,332","30,923",24009
59,Contra Costa,California,38219.0,78756.0,94208.0,"1,065,794","375,855",06013
60,Queen Anne's,Maryland,38108.0,87256.0,97909.0,"48,166","17,292",24035
61,Gilpin,Colorado,38022.0,63885.0,87639.0,"5,477","2,504",08047
62,Talbot,Maryland,38022.0,61597.0,74811.0,"37,859","16,013",24041
63,Lake,Illinois,38018.0,77469.0,92116.0,"702,099","241,072",17097
64,Boulder,Colorado,38011.0,67956.0,92667.0,"301,072","120,521",08013
65,Billings,North Dakota,37972.0,57083.0,69167.0,876,350,38007
66,Sussex,New Jersey,37949.0,87335.0,100066.0,"147,924","54,746",34037
68,Collin,Texas,37839.0,82762.0,97421.0,"811,308","289,752",48085
69,San Juan,Washington,37719.0,53376.0,65067.0,"15,786","7,753",53055
70,Litchfield,Connecticut,37667.0,71338.0,87945.0,"188,629","75,755",09005
71,Waukesha,Wisconsin,37577.0,75850.0,92974.0,"391,200","153,422",55133
72,Juneau,Alaska,37558.0,81490.0,95112.0,"31,897","12,099",02110
73,Hennepin,Minnesota,37485.0,64403.0,84559.0,"1,170,623","481,263",27053
74,Boone,Indiana,37482.0,67255.0,80907.0,"58,009","21,908",18011
75,Bucks,Pennsylvania,37466.0,76555.0,92907.0,"625,977","230,366",42017
76,Mercer,New Jersey,37465.0,73480.0,94267.0,"368,094","130,754",34021
77,Carver,Minnesota,37457.0,83773.0,96913.0,"92,770","33,486",27019
78,Broomfield,Colorado,37442.0,77998.0,96787.0,"57,171","22,016",08014
79,Prince William,Virginia,37401.0,98071.0,106544.0,"416,668","132,442",51153
80,Charles,Maryland,37277.0,93160.0,104078.0,"148,957","51,247",24017
81,Albemarle,Virginia,37239.0,67725.0,89889.0,"100,636","37,964",51003
82,Skagway,Alaska,37139.0,71667.0,77500.0,"1,080",412,02230
83,Bristol Bay,Alaska,37024.0,79531.0,96458.0,933,384,02060
84,Washington County,Rhode Island,37023.0,72138.0,91532.0,"126,627","49,430",44009
85,Suffolk,New York,36945.0,87763.0,100652.0,"1,495,803","497,347",36103
86,Frederick,Maryland,36917.0,84570.0,98259.0,"236,668","86,337",24021
87,St. Johns,Florida,36836.0,64876.0,80707.0,"197,115","75,558",12109
88,Burlington,New Jersey,36835.0,78446.0,94324.0,"449,964","164,979",34005
89,Fulton,Georgia,36757.0,56857.0,75658.0,"948,554","368,184",13121
90,Washington County,Minnesota,36706.0,81540.0,94263.0,"241,315","88,947",27163
91,Stafford,Virginia,36574.0,97110.0,106322.0,"131,885","42,178",51179
92,Rappahannock,Virginia,36505.0,56438.0,66773.0,"7,448","3,261",51157
93,Oakland,Michigan,36458.0,65594.0,84182.0,"1,213,406","486,332",26125
94,Collier,Florida,36439.0,55843.0,65980.0,"328,209","122,972",12021
95,York,Virginia,36373.0,82073.0,95392.0,"65,762","24,071",51199
96,Hinsdale,Colorado,36365.0,56667.0,76000.0,809,388,08053
98,Divide,North Dakota,36303.0,55057.0,69632.0,"2,155","1,035",38023
99,Anchorage,Alaska,36214.0,77454.0,90466.0,"295,237","105,208",02020
100,Roberts,Texas,36172.0,67321.0,83333.0,"1,030",374,48393
101,Union,South Dakota,36167.0,63468.0,74758.0,"14,575","5,758",46127
102,Carroll,Maryland,36153.0,84790.0,100643.0,"167,261","59,909",24013
103,Barnstable,Massachusetts,36142.0,60526.0,76311.0,"215,449","95,398",25001
104,Jefferson,Colorado,36087.0,68984.0,84957.0,"540,669","219,562",08059
105,Elbert,Colorado,36077.0,82118.0,89653.0,"23,295","8,240",08039
107,St. Mary's,Maryland,36017.0,85672.0,95186.0,"107,079","37,589",24037
108,Sublette,Wyoming,35944.0,77900.0,85885.0,"10,178","3,502",56035
109,Dallas,Iowa,35844.0,73847.0,90092.0,"69,526","26,262",19049
110,Kendall,Texas,35827.0,73410.0,86750.0,"34,951","12,760",48259
112,Alameda,California,35763.0,72112.0,88618.0,"1,535,248","545,071",06001
113,Blaine,Idaho,35524.0,64042.0,76575.0,"21,294","9,207",16013
114,Scott,Minnesota,35467.0,86112.0,97693.0,"132,774","45,630",27139
115,Harford,Maryland,35425.0,80622.0,92642.0,"246,664","90,708",24025
116,Fayette,Georgia,35344.0,79977.0,91574.0,"107,105","37,930",13113
117,Denali,Alaska,35295.0,72500.0,99091.0,"2,020",716,02068
118,Plymouth,Massachusetts,35220.0,75092.0,90431.0,"497,386","179,617",25023
119,Saratoga,New York,35176.0,69826.0,87058.0,"221,169","88,460",36091
120,Essex,Massachusetts,35167.0,67311.0,84185.0,"750,808","286,008",25009
121,Platte,Missouri,35143.0,67721.0,83110.0,"90,842","36,781",29165
122,Union,New Jersey,35089.0,68507.0,83164.0,"540,568","185,483",34039
123,Placer,California,34886.0,72725.0,87352.0,"355,924","132,709",06061
124,El Dorado,California,34884.0,69297.0,85253.0,"180,982","67,885",06017
125,Routt,Colorado,34873.0,62002.0,74559.0,"23,409","9,647",08107
126,Lincoln,South Dakota,34839.0,74751.0,85666.0,"46,693","17,250",46083
127,Dakota,Minnesota,34828.0,73732.0,88889.0,"402,306","154,275",27037
128,Napa,California,34795.0,70443.0,79700.0,"137,837","49,431",06055
129,St. Louis County,Missouri,34795.0,58910.0,75532.0,"999,725","403,293",29189
130,Hartford,Connecticut,34698.0,64967.0,81805.0,"895,827","347,874",09003
131,Rockwall,Texas,34617.0,86119.0,92837.0,"81,020","26,820",48397
132,Rockland,New York,34591.0,84951.0,99649.0,"315,069","98,326",36087
133,Forsyth,Georgia,34582.0,86569.0,99573.0,"182,916","58,080",13117
134,Orange,North Carolina,34465.0,55569.0,84770.0,"136,057","51,403",37135
135,Geauga,Ohio,34455.0,67663.0,81952.0,"93,610","34,621",39055
136,Tolland,Connecticut,34392.0,80529.0,95996.0,"152,366","54,327",09013
137,Hillsborough,New Hampshire,34390.0,69829.0,84430.0,"402,017","154,324",33011
138,Baltimore County,Maryland,34374.0,66486.0,81116.0,"812,261","313,912",24005
139,Middlesex,New Jersey,34345.0,79596.0,93519.0,"817,026","280,988",34023
140,Yakutat,Alaska,34317.0,72500.0,80875.0,607,254,02282
141,King George,Virginia,34234.0,81753.0,90752.0,"24,151","8,314",51099
142,Petersburg Census Area,Alaska,34183.0,63934.0,84861.0,"3,806","1,643",02195
143,Douglas,Nevada,34123.0,60100.0,67597.0,"47,035","19,455",32005
144,Fort Bend,Texas,34084.0,85297.0,94931.0,"608,939","191,406",48157
145,Olmsted,Minnesota,34073.0,66252.0,83250.0,"146,063","57,262",27109
146,Loving,Texas,34068.0,68750.0,88438.0,87,33,48301
147,Orange,California,34057.0,75422.0,84765.0,"3,051,771","995,512",06059
148,Martin,Florida,34057.0,49846.0,68003.0,"147,786","59,891",12085
149,Summit,Colorado,34025.0,63697.0,79420.0,"28,091","11,138",08117
150,Monroe,Florida,33974.0,53607.0,63550.0,"74,213","28,503",12087
151,Denton,Texas,33855.0,74155.0,90086.0,"687,857","243,394",48121
152,Campbell,Wyoming,33850.0,79488.0,84746.0,"46,901","17,108",56005
153,Kent,Rhode Island,33814.0,62279.0,80038.0,"165,628","68,880",44003
154,Mountrail,North Dakota,33803.0,68722.0,76282.0,"8,280","3,069",38061
155,Oconee,Georgia,33801.0,75004.0,82625.0,"33,240","11,485",13219
156,Dunn,North Dakota,33788.0,60500.0,76346.0,"3,786","1,438",38025
157,New London,Connecticut,33782.0,66583.0,82076.0,"274,090","107,066",09011
158,Dane,Wisconsin,33712.0,61721.0,83509.0,"496,762","206,982",55025
159,Midland,Texas,33672.0,62993.0,72635.0,"142,289","50,644",48329
160,Llano,Texas,33634.0,44094.0,60285.0,"19,223","8,519",48299
161,Columbia,New York,33613.0,57336.0,72649.0,"62,674","25,280",36021
162,Dutchess,New York,33594.0,72525.0,88777.0,"297,385","107,830",36027
163,Oldham,Kentucky,33591.0,83391.0,91587.0,"60,940","19,532",21185
164,Warren,New Jersey,33555.0,70912.0,85091.0,"108,150","41,463",34041
165,Hanover,Virginia,33540.0,75070.0,88604.0,"100,328","36,927",51085
167,Storey,Nevada,33472.0,61573.0,64173.0,"3,981","1,843",32029
168,Dukes,Massachusetts,33363.0,66288.0,82452.0,"16,739","5,891",25007
169,Towner,North Dakota,33357.0,55521.0,67969.0,"2,285","1,034",38095
170,Shelby,Alabama,33313.0,68770.0,82558.0,"198,366","74,144",01117
171,Chittenden,Vermont,33281.0,63989.0,83887.0,"157,637","62,587",50007
172,Denver,Colorado,33251.0,50313.0,63705.0,"619,297","266,069",08031
173,Washtenaw,Michigan,33231.0,59055.0,85115.0,"348,560","135,800",26161
174,Travis,Texas,33206.0,58025.0,73951.0,"1,063,248","411,876",48453
175,Delaware County,Pennsylvania,33179.0,64041.0,81523.0,"559,771","204,771",42045
176,Warren,Ohio,33172.0,72487.0,85636.0,"215,274","76,546",39165
177,Madison,Mississippi,33170.0,59904.0,73775.0,"97,151","36,342",28089
178,Wake,North Carolina,33166.0,66006.0,83568.0,"929,214","348,627",37183
179,Grand Isle,Vermont,33159.0,59509.0,69722.0,"6,984","3,023",50013
181,Henrico,Virginia,33115.0,61048.0,75640.0,"311,314","123,683",51087
182,McKenzie,North Dakota,33078.0,64866.0,77366.0,"7,377","2,666",38053
183,Cobb,Georgia,33069.0,63920.0,78058.0,"699,235","261,242",13067
184,Foster,North Dakota,33063.0,50677.0,68547.0,"3,355","1,555",38031
185,Madison,Montana,33062.0,47762.0,61672.0,"7,702","3,542",30057
186,Ouray,Colorado,33015.0,64601.0,72229.0,"4,475","1,943",08091
187,Comal,Texas,32980.0,65839.0,77324.0,"112,083","41,954",48091
188,Cape May,New Jersey,32948.0,56494.0,74112.0,"96,684","42,312",34009
189,Ventura,California,32930.0,76544.0,86301.0,"829,017","267,076",06111
190,Montgomery,Texas,32911.0,67766.0,79541.0,"472,162","163,462",48339
191,Burke,North Dakota,32908.0,53693.0,70096.0,"2,094","1,007",38013
192,Worcester,Maryland,32887.0,57952.0,68840.0,"51,479","20,530",24047
193,Cumberland,Maine,32880.0,57461.0,75432.0,"283,046","117,359",23005
194,Burleigh,North Dakota,32876.0,61811.0,82235.0,"83,906","34,703",38015
195,Cook,Minnesota,32868.0,52215.0,59643.0,"5,195","2,614",27031
196,Palm Beach,Florida,32858.0,52432.0,64260.0,"1,339,221","526,007",12099
197,Sonoma,California,32835.0,63356.0,75896.0,"487,469","185,660",06097
198,Suffolk,Massachusetts,32835.0,53540.0,61449.0,"735,701","288,240",25025
199,Clackamas,Oregon,32781.0,64352.0,76549.0,"380,532","146,527",41005
201,Greeley,Kansas,32650.0,52847.0,58875.0,"1,202",493,20071
202,Hudson,New Jersey,32641.0,58442.0,62168.0,"644,605","243,875",34017
203,Gloucester,New Jersey,32600.0,74524.0,87913.0,"289,098","104,145",34015
204,Arapahoe,Colorado,32595.0,60651.0,73649.0,"585,333","225,552",08005
205,Valdez-Cordova Census Area,Alaska,32579.0,74878.0,88480.0,"9,682","3,424",02261
206,Chesterfield,Virginia,32572.0,72088.0,83877.0,"320,430","113,637",51041
207,New Haven,Connecticut,32523.0,61996.0,79408.0,"862,611","328,013",09009
208,Sitka,Alaska,32521.0,69405.0,78000.0,"8,945","3,554",02220
209,Beaufort,South Carolina,32503.0,57316.0,66878.0,"165,354","64,417",45013
210,Botetourt,Virginia,32490.0,65935.0,74798.0,"33,076","12,825",51023
211,Mecklenburg,North Carolina,32482.0,55444.0,68083.0,"947,135","366,689",37119
212,New Castle,Delaware,32406.0,64537.0,79954.0,"542,784","200,739",10003
214,Nevada County,California,32346.0,57353.0,70148.0,"98,509","40,991",06057
215,Prince George's,Maryland,32344.0,73623.0,84808.0,"873,481","303,441",24033
216,McHenry,Illinois,32341.0,76145.0,87760.0,"308,060","108,852",17111
217,Albany,New York,32328.0,59394.0,81846.0,"305,279","122,700",36001
218,Sarasota,Florida,32313.0,49052.0,61339.0,"383,094","170,555",12115
219,Santa Fe,New Mexico,32298.0,52917.0,64737.0,"145,400","61,012",35049
220,Santa Cruz,California,32295.0,66519.0,80899.0,"264,808","93,504",06087
221,Oliver,North Dakota,32253.0,71250.0,81500.0,"1,840",753,38065
222,St. Croix,Wisconsin,32220.0,68426.0,80740.0,"84,912","32,114",55109
223,Essex,New Jersey,32181.0,55095.0,69448.0,"785,853","277,302",34013
224,Fairbanks North Star,Alaska,32143.0,69223.0,82930.0,"98,656","35,588",02090
225,Livingston,Michigan,32129.0,72359.0,82959.0,"182,402","67,691",26093
226,New Kent,Virginia,32068.0,70618.0,78995.0,"18,791","6,886",51127
227,Bowman,North Dakota,32045.0,56964.0,76750.0,"3,168","1,354",38011
228,Richland,Montana,32036.0,58112.0,72115.0,"10,318","4,270",30083
229,Cavalier,North Dakota,32028.0,55904.0,72946.0,"3,952","1,754",38019
230,Washington County,Wisconsin,32020.0,66159.0,79911.0,"132,186","52,053",55131
231,LaMoure,North Dakota,31989.0,53691.0,65958.0,"4,136","1,955",38045
232,Bottineau,North Dakota,31969.0,51667.0,71217.0,"6,529","3,028",38009
233,Virginia Beach City,Virginia,31934.0,65219.0,76285.0,"442,151","164,944",51810
234,Madison,Alabama,31933.0,58434.0,75766.0,"339,279","132,975",01089
235,Richmond,New York,31823.0,72569.0,86133.0,"470,223","164,609",36085
236,Cumberland,Pennsylvania,31791.0,60826.0,77057.0,"237,449","95,286",42041
237,Aleutians West Census Area,Alaska,31790.0,81853.0,87159.0,"5,538","1,033",02016
238,Dickinson,Iowa,31790.0,56136.0,64798.0,"16,818","7,981",19059
239,Kitsap,Washington,31769.0,62413.0,74993.0,"252,687","97,622",53035
240,Mercer,North Dakota,31767.0,66534.0,80827.0,"8,456","3,650",38057
241,Monroe,Illinois,31758.0,68482.0,81766.0,"33,181","12,506",17133
242,Roanoke County,Virginia,31728.0,60795.0,75860.0,"92,824","37,928",51161
243,Barnes,North Dakota,31721.0,50274.0,67150.0,"11,085","4,871",38003
244,Lane,Kansas,31694.0,53021.0,64886.0,"1,616",808,20101
245,Grand,Colorado,31684.0,64664.0,74418.0,"14,535","5,227",08049
246,Allegheny,Pennsylvania,31593.0,51366.0,70380.0,"1,226,933","526,004",42003
247,Ketchikan Gateway,Alaska,31589.0,62519.0,85638.0,"13,595","5,295",02130
248,St. Charles,Missouri,31586.0,71077.0,83907.0,"365,101","135,974",29183
249,Terrell,Texas,31578.0,39479.0,68750.0,837,403,48443
250,Carroll,New Hampshire,31558.0,50866.0,58867.0,"47,694","20,922",33003
251,Worcester,Massachusetts,31537.0,65223.0,81519.0,"802,688","299,663",25027
252,Sioux,Nebraska,31517.0,42014.0,56813.0,"1,229",553,31165
253,Park,Colorado,31504.0,61570.0,76104.0,"16,131","7,038",08093
254,Kent,Maryland,31502.0,56259.0,72360.0,"20,130","7,498",24029
255,Adams,North Dakota,31502.0,47798.0,65859.0,"2,328","1,101",38001
256,Harris,Georgia,31482.0,69223.0,82259.0,"32,267","11,426",13145
257,Leelanau,Michigan,31462.0,55018.0,66570.0,"21,682","9,103",26089
258,Steele,North Dakota,31455.0,55735.0,67159.0,"1,976",890,38091
259,Daniels,Montana,31449.0,46100.0,60000.0,"1,778",890,30019
260,Stark,North Dakota,31412.0,62559.0,75333.0,"25,666","10,439",38089
261,Sheridan,Montana,31378.0,48667.0,68769.0,"3,473","1,612",30091
262,Spotsylvania,Virginia,31360.0,78345.0,87374.0,"124,319","41,709",51177
263,Snohomish,Washington,31349.0,68381.0,80856.0,"724,627","268,722",53061
264,Mathews,Virginia,31342.0,55192.0,71441.0,"8,943","3,856",51115
265,Merrimack,New Hampshire,31310.0,65353.0,80655.0,"146,710","56,812",33013
266,Miner,South Dakota,31288.0,48477.0,60083.0,"2,355","1,053",46097
267,Kendall,Illinois,31276.0,81765.0,91368.0,"116,366","38,075",17093
268,Kenai Peninsula,Alaska,31256.0,61793.0,75689.0,"56,163","21,720",02122
269,Powhatan,Virginia,31252.0,76548.0,87045.0,"28,108","9,544",51145
270,Piatt,Illinois,31190.0,63027.0,73890.0,"16,620","6,546",17147
271,Renville,North Dakota,31178.0,60847.0,77143.0,"2,512","1,041",38075
272,Chatham,North Carolina,31175.0,57091.0,66875.0,"64,886","26,017",37037
273,Grundy,Iowa,31164.0,56827.0,70837.0,"12,416","5,073",19075
274,Glasscock,Texas,31135.0,69107.0,98409.0,"1,176",409,48173
276,Haines,Alaska,31096.0,52866.0,68207.0,"2,546","1,245",02100
277,Washington County,Oregon,31078.0,64180.0,76711.0,"539,608","201,771",41067
278,Teller,Colorado,31075.0,59040.0,73379.0,"23,276","9,434",08119
279,Williamson,Texas,31070.0,71803.0,82568.0,"441,445","154,948",48491
280,McLean,North Dakota,30992.0,53565.0,67636.0,"9,163","4,021",38055
281,Butler,Pennsylvania,30957.0,58230.0,74043.0,"184,535","73,213",42019
282,Columbia,Georgia,30949.0,69306.0,77373.0,"128,213","43,975",13073
283,Converse,Wyoming,30941.0,63918.0,75231.0,"13,937","5,746",56009
284,Island,Washington,30941.0,58455.0,69775.0,"78,806","33,096",53029
285,Stanley,South Dakota,30933.0,54620.0,61083.0,"2,966","1,273",46117
286,Windsor,Vermont,30932.0,52460.0,70467.0,"56,416","25,024",50027
287,Woodford,Illinois,30926.0,66639.0,78590.0,"38,903","14,362",17203
288,Galveston,Texas,30926.0,61877.0,76204.0,"296,669","110,032",48167
289,Audubon,Iowa,30919.0,48313.0,61845.0,"6,002","2,684",19009
291,Isle of Wight,Virginia,30903.0,63942.0,77524.0,"35,373","13,560",51093
292,Fluvanna,Virginia,30881.0,68288.0,79101.0,"25,860","9,462",51065
294,Larimer,Colorado,30740.0,58626.0,76194.0,"305,798","121,423",08069
295,Grafton,New Hampshire,30738.0,54912.0,71158.0,"89,166","35,111",33009
296,Lancaster,Virginia,30737.0,49248.0,66189.0,"11,303","5,182",51103
297,Medina,Ohio,30707.0,65951.0,77729.0,"173,252","65,499",39103
298,Parker,Texas,30692.0,64515.0,78626.0,"118,478","42,322",48367
299,San Diego,California,30668.0,62962.0,73495.0,"3,138,265","1,076,483",06073
300,Door,Wisconsin,30657.0,50438.0,63361.0,"27,826","13,459",55029
301,Anoka,Minnesota,30647.0,70380.0,81798.0,"334,027","122,625",27003
302,Camden,New Jersey,30592.0,61683.0,77369.0,"513,512","187,941",34007
303,Slope,North Dakota,30586.0,61667.0,74167.0,738,296,38087
304,Orange,New York,30583.0,70458.0,85100.0,"373,902","125,317",36071
305,Indian River,Florida,30532.0,44772.0,56151.0,"139,356","58,038",12061
306,Middlesex,Virginia,30531.0,53309.0,64313.0,"10,851","4,400",51119
307,Dare,North Carolina,30529.0,55481.0,64404.0,"34,289","14,624",37055
308,Cass,North Dakota,30529.0,52590.0,74024.0,"154,080","65,816",38017
309,Belknap,New Hampshire,30518.0,58654.0,67570.0,"60,216","25,049",33001
310,Sweetwater,Wyoming,30517.0,71525.0,81595.0,"44,437","16,682",56037
311,Ocean,New Jersey,30477.0,61136.0,76822.0,"578,902","221,774",34029
312,Multnomah,Oregon,30475.0,52511.0,65897.0,"747,641","305,939",41051
314,McLean,Illinois,30460.0,62089.0,83812.0,"171,240","64,016",17113
315,Polk,Iowa,30442.0,59018.0,73043.0,"438,307","173,164",19153
316,Ulster,New York,30442.0,58590.0,72632.0,"182,086","69,862",36111
317,Hodgeman,Kansas,30440.0,52375.0,67000.0,"1,946",821,20083
318,Nelson,North Dakota,30432.0,49839.0,64792.0,"3,101","1,474",38063
319,Jefferson,Montana,30397.0,60863.0,76469.0,"11,434","4,527",30043
320,Will,Illinois,30377.0,76147.0,86747.0,"679,688","222,652",17197
321,St. Tammany,Louisiana,30363.0,60799.0,74834.0,"236,832","87,518",22103
322,Honolulu,Hawaii,30361.0,72764.0,85440.0,"964,678","309,803",15003
323,Santa Barbara,California,30352.0,62779.0,72602.0,"427,288","141,720",06083
324,Warren,New York,30351.0,55904.0,66622.0,"65,584","28,081",36113
325,Hughes,South Dakota,30284.0,59338.0,83474.0,"17,238","6,992",46065
326,Ness,Kansas,30223.0,48800.0,61940.0,"3,095","1,340",20135
328,Sully,South Dakota,30218.0,54524.0,69345.0,"1,420",606,46119
329,Sarpy,Nebraska,30189.0,69965.0,80985.0,"162,728","59,606",31153
330,Cook,Illinois,30183.0,54548.0,66187.0,"5,212,372","1,933,335",17031
331,Charleston,South Carolina,30158.0,50792.0,65394.0,"358,736","143,717",45019
332,La Plata,Colorado,30151.0,58080.0,67732.0,"52,039","20,947",08067
333,Chambers,Texas,30140.0,72489.0,82601.0,"35,570","12,147",48071
334,Gillespie,Texas,30117.0,53668.0,65457.0,"25,003","10,655",48171
335,Thomas,Nebraska,30116.0,55089.0,63333.0,734,323,31171
336,Frederick,Virginia,30112.0,68424.0,76530.0,"79,453","29,172",51069
337,Wheeler,Texas,30097.0,51766.0,63000.0,"5,526","2,319",48483
338,Kane,Illinois,30082.0,69530.0,80085.0,"518,380","170,358",17089
339,Hood,Texas,30046.0,55754.0,64873.0,"51,756","20,758",48221
340,Greene,Ohio,30040.0,58080.0,73972.0,"162,588","62,836",39057
341,Saunders,Nebraska,30039.0,59870.0,74235.0,"20,800","8,142",31155
342,Goliad,Texas,30031.0,50923.0,63672.0,"7,281","3,028",48175
343,Rensselaer,New York,29987.0,59432.0,74519.0,"159,565","64,242",36083
344,Sangamon,Illinois,29974.0,55449.0,71338.0,"198,269","82,807",17167
345,San Luis Obispo,California,29954.0,58697.0,74885.0,"272,094","102,154",06079
346,Sargent,North Dakota,29950.0,53381.0,67132.0,"3,859","1,741",38081
347,Linn,Iowa,29943.0,57260.0,75761.0,"213,425","86,052",19113
348,Goodhue,Minnesota,29932.0,56836.0,73075.0,"46,259","18,711",27049
349,Warrick,Indiana,29927.0,62351.0,72764.0,"60,163","22,454",18173
350,Chesapeake City,Virginia,29905.0,69743.0,80767.0,"225,597","79,421",51550
351,Ontario,New York,29904.0,56479.0,70381.0,"108,311","43,794",36069
352,Natrona,Wyoming,29877.0,57791.0,69098.0,"77,343","31,116",56025
353,King,Texas,29836.0,65000.0,76250.0,321,126,48269
354,Hendricks,Indiana,29830.0,68297.0,79943.0,"148,623","52,946",18063
356,Plumas,California,29806.0,45794.0,55183.0,"19,586","8,997",06063
357,Lander,Nevada,29800.0,72742.0,75857.0,"5,844","2,010",32015
358,Archuleta,Colorado,29793.0,48933.0,58222.0,"12,109","4,881",08007
359,Washington County,Vermont,29761.0,57281.0,70640.0,"59,427","24,661",50023
360,Thurston,Washington,29744.0,62229.0,74207.0,"256,080","100,801",53067
362,Emmet,Michigan,29718.0,50929.0,61644.0,"32,858","13,545",26047
363,Hamilton,Ohio,29681.0,48593.0,65392.0,"802,481","327,914",39061
364,New Hanover,North Carolina,29679.0,49835.0,67938.0,"206,403","86,010",37129
365,Jo Daviess,Illinois,29675.0,50817.0,63490.0,"22,602","9,616",17085
367,Cass,Nebraska,29638.0,64697.0,75769.0,"25,222","9,701",31025
368,Wright,Minnesota,29623.0,71598.0,81683.0,"126,142","44,983",27171
369,Cherokee,Georgia,29615.0,67261.0,78328.0,"218,277","76,144",13057
370,Jefferson,West Virginia,29605.0,65304.0,77447.0,"54,131","19,889",54037
